case,curve,time_h_from_rainfall_onset,value,unit,y_axis,absolute_time,relative_displacement_mm,main_damage_core_size_voxels
S1,blue_surface_displacement,0.294444,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.295556,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.296667,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.297778,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.298889,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.3,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.301111,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.302222,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.303333,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.304444,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.305556,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.306667,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.307778,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.308889,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.31,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.311111,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.312222,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.313333,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.314444,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.315556,0,mm,left_mm,2025-7-7 14:18,0,
S1,blue_surface_displacement,0.316667,0,mm,left_mm,2025-7-7 14:19,0,
S1,blue_surface_displacement,0.317778,0,mm,left_mm,2025-7-7 14:19,0,
S1,blue_surface_displacement,0.318889,0,mm,left_mm,2025-7-7 14:19,0,
S1,blue_surface_displacement,0.32,0,mm,left_mm,2025-7-7 14:19,0,
S1,blue_surface_displacement,0.321111,0,mm,left_mm,2025-7-7 14:19,0,
S1,blue_surface_displacement,0.322222,0,mm,left_mm,2025-7-7 14:19,0,
S1,blue_surface_displacement,0.323333,0,mm,left_mm,2025-7-7 14:19,0,
S1,blue_surface_displacement,0.324444,0,mm,left_mm,2025-7-7 14:19,0,
S1,blue_surface_displacement,0.325556,0,mm,left_mm,2025-7-7 14:19,0,
S1,blue_surface_displacement,0.326667,0,mm,left_mm,2025-7-7 14:19,0,
