MS-0.25m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2
27.49959,0,36.89998,0.00408
27.60108,0,36.89998,0.00408
27.60108,0,36.89998,0.00408
27.49959,0,37.00208,0.00408
27.60108,0,36.89998,0.00408
27.60108,0,36.89998,0.00408
27.49959,0,37.00208,0.00408
27.39846,0,37.00208,0.00408
27.49959,0,36.89998,0.00408
27.49959,0,36.89998,0.00408
27.49959,0,37.00208,0.00408
27.49959,0,36.89998,0.00408
27.49959,0,37.00208,0.00408
27.49959,0,37.00208,0.00408
27.49959,0,36.89998,0.00408
27.60108,0,37.00208,0.00408
27.49959,0,37.00208,0.00408
27.49959,0,37.00208,0.00408
27.49959,0,37.00208,0.00409
27.49959,0,36.89998,0.00409
27.49959,0,37.00208,0.00409
27.49959,0,36.79816,0.00409
27.60108,0,37.00208,0.00409
27.60108,0,37.00208,0.00409
27.60108,0,37.00208,0.00409
27.49959,0,37.00208,0.00409
27.49959,0,36.89998,0.00409
27.49959,0,37.00208,0.00409
27.49959,0,36.89998,0.00409
27.60108,0,37.00208,0.00411
27.60108,0,37.00208,0.00411
27.49959,0,36.89998,0.00411
27.49959,0,37.00208,0.00411
27.60108,0,37.00208,0.00414
27.60108,0,37.00208,0.00414
27.49959,0,36.89998,0.00414
27.49959,0,36.89998,0.00414
27.49959,0,37.00208,0.00414
27.49959,0,37.09592,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.39846,0,37.00208,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.79816,0.00416
27.49959,0,36.89998,0.00416
27.60108,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.60108,0,36.89998,0.00416
27.60108,0,37.00208,0.00416
27.39846,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.60108,0,37.00208,0.00416
27.49959,0,36.79816,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.60108,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.39846,0,37.00208,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.60108,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.60108,0,37.00208,0.00416
27.60108,0,36.89998,0.00416
27.60108,0,37.00208,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.60108,0,36.89998,0.00416
27.60108,0,36.79816,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,36.89998,0.00416
27.60108,0,37.00208,0.00416
27.49959,0,36.79816,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.60108,0,37.00208,0.00416
27.49959,0,36.89998,0.00416
27.60108,0,36.89998,0.00416
27.60108,0,36.79816,0.00416
27.49959,0,36.89998,0.00416
27.49959,0,37.00208,0.00416
27.49959,0,37.00208,0.00417
27.60108,0,36.89998,0.00417
27.49959,0,36.89998,0.00417
27.49959,0,36.89998,0.00417
27.49959,0,37.00208,0.00417
27.49959,0,37.00208,0.00417
27.49959,0,37.00208,0.00417
27.60108,0,37.00208,0.00417
27.49959,0,36.89998,0.00417
27.60108,0,37.00208,0.00417
27.60108,0,37.00208,0.00417
27.49959,0,36.89998,0.00417
27.49959,0,36.89998,0.00417
27.49959,0,37.00208,0.00417
27.60108,0,37.00208,0.0042
27.49959,0,36.89998,0.0042
27.49959,0,36.89998,0.0042
27.49959,0,37.00208,0.00421
27.49959,0,36.89998,0.00421
27.39846,0,36.89998,0.00421
27.39846,0,36.89998,0.00421
27.49959,0,36.89998,0.00421
27.49959,0,37.00208,0.00421
27.49959,0,37.00208,0.00421
27.49959,0,36.79816,0.00421
27.49959,0,37.00208,0.00421
27.49959,0,36.89998,0.00421
27.49959,0,36.89998,0.00421
27.49959,0,36.89998,0.00421
27.49959,0,37.00208,0.00421
27.60108,0,36.89998,0.00421
27.49959,0,37.00208,0.00421
27.49959,0,36.89998,0.00421
27.49959,0,36.89998,0.00422
27.49959,0,37.00208,0.00422
27.60108,0,37.00208,0.00425
27.39846,0,37.00208,0.00425
27.49959,0,36.89998,0.00425
27.60108,0,37.00208,0.00425
27.49959,0,36.79816,0.00425
27.49959,0,37.00208,0.0043
27.49959,0,36.89998,0.0043
27.49959,0,36.89998,0.0043
27.49959,0,37.00208,0.0043
27.49959,0,37.00208,0.00431
27.39846,0,36.89998,0.00431
27.49959,0,36.89998,0.00435
27.60108,0,36.89998,0.00437
27.49959,0,36.89998,0.00439
27.49959,0,37.00208,0.00439
27.49959,0,36.89998,0.00442
27.49959,0,36.89998,0.00443
27.49959,0,37.00208,0.00445
27.49959,0,36.89998,0.00448
27.60108,0,36.89998,0.00448
27.49959,0,37.00208,0.00448
27.49959,0,37.00208,0.00448
27.49959,0,37.00208,0.00448
27.49959,0,36.89998,0.00451
27.60108,0,37.09592,0.00451
27.60108,0,37.09592,0.00451
